Negative 	 Enna da ellam avan seyal  Mari iruku
Positive 	 Thala na Thala dhan, vera level ultimatu
Positive 	 Thala version ah pathathu ilaye.......ini papengaa
Positive 	 Suriya Anna fans support Thalaiku Eppovom irukum  love you Thala
Positive 	 Pangaalingala1.3k like 40m view varamum Innum neriyah neriyah neraiyah neraiyah venum Therika vidanum Thattunga quick ah..
Positive 	 Nalaiki 100 views ah cross panuven...
Positive 	 Unna yappa screenla paponu irukan thala.
Positive 	 Nan 75 views ah cross panniten....anyone else like me....
Positive 	 1.3k like varanum Pangalaingala Therika viduvomaaaaaaa..
Positive 	 Yar yaaru ipaa comment section laa irukengaa
Positive 	 More 301k likes needed for 1M views
Mixed_feelings 	 its looks like pink movie of tapsi and amitabh
Positive 	 Saaho 7.1 million vandhudhuchu trending la nerunga vidhadheenga thalafans nkp trailer views ethunga pangaaligala
Positive 	 1M likes pannanum  Yellarum Ella account um use Pani like podunga
Negative 	 Bgm bangam yuvan thala always on fire
Positive 	 Innum 1.3k like reach aagala quick ah Thatti Therika Vidunga Pangaalingala..
Positive 	 Niraiya niraiya niraiya niraiya irukku...NKP update .. waiting
Positive 	 Mass mass nu soli pavam fight ill lathe padathu la kuda fight varawaychitaga....
Mixed_feelings 	 Smjh nhi aae bt mst lgia trailor
Positive 	 best under 7000 rupees mobile
Negative 	 Thambi Mazhil Vahanam Njan Thala Allai Thala Edukaravan...
Positive 	 697 k likes reached aairuku
Positive 	 Thala Thala Thala Thala Thala Thala Thala Thala Thala Thala Thala Thala
Positive 	 Thala style sema mass ah iruku
Positive 	 Thala fans views konjam adigama ethunga social media trending thala fans Mattum tha irukkanum views konjam ethunga
Positive 	 yuvan bgm ah therika vitturukaru
Positive 	 pangaaligala unga friends ellarukum nkp trailer ah vegama share pannunga
Positive 	 BILLA remake mega Hit pink remake Block buster HIT
Positive 	 Ellam avan seyal mathri irukum pola
Positive 	 Rangaraj pandey screen la parka ... Am waiting....
Positive 	 Ethana thadava itha pathalum salikave illa , ithoda 50 times ku mela pathuten ., v love u ajith sir
Positive 	 Thala endral mass gethu vera level simplicity.
Positive 	 Remake movie trailer key.700 k likes therikuthu ....Thala mass Da....
Mixed_feelings 	 Paakalam Amitabh Bachan ah vida Ajith nalla nadichirukara nu pakalam
Positive 	 Thala I love you soooooooooooooooooo much
Positive 	 Thala attitude ah like pannavanga mattum like podunga
Positive 	 Pangalingala adichi thookalamaa thagida thagida thagida
Positive 	 Money Money Money Money  Neraya Neraya Neraya Neraya.
Negative 	 Thalada  .. ..... Ooothalakka Vera yevanum mincha mudiyadhuda... Enga thalaya
Positive 	 Oruthar mela nenga visawasam katrarukaha innoruthara yen asinga paduthuringa... Paaa real life dialogue.. Super.
Positive 	 Ajith look kola mass irukku
Positive 	 696 likes reached aairuku pangalingala adichi thookalamaa
Positive 	 oruthar mela neenga viswaasam kaatrathukaaga innoruthara aen asinga paduthuringa? vj fans? Ajith Fans?
Positive 	 enn uyir oolla varai thala nee thaan en kadavul
Positive 	 Thala eppadi vanthalum mass thaan
Positive 	 oorula unnakoru meda vaanula la unnakoru mancham  Thala nee parkum paarvai parava paarvayadaa ithu enga thalaiku thaan porunthum
Positive 	 Iam from telangana Iam big fan of super star rajinikanth sir and super star mahesh babu
unknown_state 	 Sethupathi kaga wait panravangalam Kai thoongunga
not-Tamil 	 ವಿಂಟೆಜ್  ರಜ್ನೀ... Karnataka rajnj fans hit. Like
Mixed_feelings 	 Waiting for visvasam tesar   thalivar trilar semma
unknown_state 	 Dei vanga da trailer tending Pani koduppom  likes ethuvom  views ethuvom
Positive 	 இதோட  நா 50 time mela pathutan 0.42 sema mass
Positive 	 What an amazing star casting,  super starukkitte modhappovurathu  sariyana aambalakkoottam....
Positive 	 Ayyo thalaivaa kethu mass  alluthe!,,
Positive 	 Evvlovu comments tha like podarathu kai valikuthu pa. .....
Positive 	 1:41 VILLINOUS SMILE VIJAYSETHUPAHY MARANA GETHU
Positive 	 super rajini sir always rocks....it is bit like pawan kalyans panjaa
Positive 	 0.42 innum ethana varusam paathalum alukkathu..
Positive 	 Evana pakka Chinna paiyan marri irukkan ,,,,,,F*** girl
Positive 	 i love nawazuddin sidiqui hads of Rajni sir Yash faaaaaan
Positive 	 Thalaivaaaaaa nenga nadichute irukanum ipdi Mass ah....  Atha nanga paathu rasichute irukanum thalasivaaaa....  Love you thalaivaaaa
Positive 	 Sema mass thalaivaaa Innum eththana years aanalum unna adichukkathukku aale kidaiyathu
Positive 	 Ethana janmam eduthalum Rajini fan dhan da !!
Positive 	 Nan veelven endru ninaiththayo  thalaivar da
Positive 	 Trailer ye sweet sapta feel ahtan irukku
Mixed_feelings 	 Music santosh narayanan panna innum nalla irukum
Positive 	 Enaku apdiye padaiyappa second half Rajini ya patha mariye iruku  can't wait for fdfs
Positive 	 Thalaivaaa ...last la andha dance semma
unknown_state 	 bro youtube I'll froud viewers pannamudiyathu purinju pesanga
Positive 	 Kola kaandla irukken mavana kollama vida maatten.....sama mass dialogue...
Positive 	 Thalaivar vera level. Mass mass mass marana mass.
Negative 	 so bollywood is 70 years behind hollywood?
Positive 	 Padam maranama iruka podhu.......Waiting ThalaivaaI get Rajnified
Positive 	 DIZ TRAILER . TREAT FOR EVERYONE
Positive 	 Ayyo thookam vara matuthu inum 12 days iruke ena panrathu..
Negative 	 Enda en deivatha dislike pandringa thevudiya pasangala.yaru sottula manna pottaru . savungada prostitute pasangala
Positive 	 After long Rajini daa full energetic, full happy
Positive 	 Naaangalaum pakkaathan poorommmm...... Engee thalaivar odee aattaatheee
Negative 	 Collage warden aaanaaa style ehhh parungaiyaaaa.....
Positive 	 Paka thana pora intha Kaali oda aatatha....
Positive 	 Really semaa Karthik bro.. bgm Vera level
Positive 	 70 vayasuku yeththa nadippaa ithu..nee vera level thalaivaa...un nadipuku inai nee mattumey
Positive 	 20 Peru illa 100 pera anupunalum adippom Pongalukku
Positive 	 Thalaivaa Pakka massssss only one super star
Positive 	 Just 2k likes away from passing vivegam trailer likes
Positive 	 Petta parrak 🤗konjam othingiruuu....  Odi pathungiru .....varuthu THALAIVAR RUUU Petta parrak......
Mixed_feelings 	 Mothathula viswasathuku bulb kudukkurathukagave yedutha mathiri iruku
Positive 	 Super star Rajni Sir super style awesome
Positive 	 Sweet sapada poorum happy pongal 2019. Petta parak
Mixed_feelings 	 Ada pavingala. .... Iwlo charming ah iruke da... Saaptinga trailer laye
Positive 	 Pongal Ku intha trailer mattumae pothum polayae. Kola mass Thalaivar
unknown_state 	 Waiting for kannada trailer,,,, frm bangalore
Positive 	 Sirappana Taramana padatha Neenga initan Paaka Poreenga@Petta Parak Vera level... Trailer@Repeat Mode
Positive 	 Appa Sami Inna pa ippadi irukaru Rajini
Positive 	 Maranam Mass Uh maranam Tough Tharanum Athukku Avan Thaaan poranthu Varanum
Mixed_feelings 	 Pettaiku viswasama pogalam aana viswasathiku peetaia poga mudiyaadhu
Positive 	 Pakkkkka marana massss 2019 blockbuster Hit & No.1 collection movie petta
Positive 	 Siddiqui and Rajni sir + sambalpuri music...superhit
Negative 	 Pudikaatha dislike pottavangla vida... Poraamaila potavangatha adhigam thuu..
Negative 	 Seems movie is not so intresting
Positive 	 Rajani sir    mass  comback   rajani sir
Positive 	 IPA namba enna panna porom.... Intha padatha FDFSla paaka  porom.....
Mixed_feelings 	 Enda indha video ku dislike poda epida thonthu thuu ..
Mixed_feelings 	 Enada panni madhri kootama ivalo Peru irukkinga Singam single a tha varum viswasam Ajith a varum
Positive 	 Karthik subburaj mass aaah katirkaru ya
Positive 	 Me Telugu rajini  one and only super
Positive 	 Pakka paisa vasol movie... Mass movie after narasimha
Positive 	 yen thalaiva nee vaazgha pallaandu..... Petta paraagh....
Positive 	 Semma thalaiva nega than next tamilnadu  cm super Marana mass.....
Positive 	 Super...  Rajini Sir is Back.....
Positive 	 sweet sapda porom vera evan soli irundalum ivlo mass ah irundirukaadhu.. the name is SUPER STAR
unknown_state 	 Kole gaand la irukke mavne kollame vidamaate
Positive 	 style ki hero Super star RAJINi
unknown_state 	 0.37  replicates 1975 apoorva ragangal...
Negative 	 Poi appa character iruntha nadika solluga setaaa agala 2.o mass ithu  pushhh
Negative 	 Engada kanum enga thalaivana Vijay Sethupathi engal makkal selvatha kanum appuram enna maythukku ithu
unknown_state 	 37k AJITH FANS OR RAJINI HATERS ,NOT FOR TEASER
Negative 	 Dei yenda inu trending la varala. Evan pakra velada ithu
Positive 	 High voltage naadi, narambu, rathathile ooripona oru veriyanukkuthan thalaivare ippadi azhagupakkamudiyum..
unknown_state 	 Comment pakka vandha nanba nanbigal like pannitu pooga
Mixed_feelings 	 Ellam ok last ya yen kaththi theme music  pottanganu terila
Positive 	 Aa grace aa style aa mass
Positive 	 world wise big superstar  rajinikanth talaiva
Positive 	 Once a king , always a king🥰🥰🥰🥰🥰
Positive 	 1.55 talaivar semma mass & dialogue super
Negative 	 yaarupa adhu kadasila bijili ramesh madri
Positive 	 Anirudh ji sirappana tharamana bgm ji🤙🤙🤙
Positive 	 Thalaivaaa one & only super star
Positive 	 ayyo en thalaivara parungale evlo alagu ipdi lam padam nadicha kannu pattudum thalaivaa
Mixed_feelings 	 Rajini Haters.....savunga daaa.....  Thug life thalaivar....Whataaa trailer....
Positive 	 Super star fans kelam nalla theeni potrukarr karthik subaraj, thalaivar charisma vera level
Positive 	 Pongal ku sirappaana tharamaana sweet saapada porom pola
unknown_state 	 Basha rajini a pakka yar ellam aasai paduringa hit like here
Positive 	 Thalaivaaa nee vantha mattum podhum thanks to karthik annaa
unknown_state 	 Sooper star idhula rombo ஒல்லியா ah irrugaru
Positive 	 I am first like and viewer
Positive 	 My taste la eduthurukkaru...Karthick Subbu......kandippa mass thaan.,.
Positive 	 Thalaiva eppavumey super star rajini kanth mattumthan
Negative 	 2:06 vig kaiyoda vandhudumonu bayandhuten
Positive 	 Vaa Thalaivaaaaa Neethan Thalaiva Inga kingu
Positive 	 Thalivaa eppadi ippadi masss kammika mudiyuthu
Positive 	 Thalivaa eppadi ippadi masss kammika mudiyuthu
Mixed_feelings 	 Makkal selvan.....is mass.....avarukkaka mattumea intha pataththa pakka phorean....
Positive 	 Thalaiver  Thalaiver thaaa Vera pechaaa  Kedaiyathu  Pettai daaaa
Positive 	 мaѕѕ  waιтιng ғor  ԹҽԵԵɑ
Mixed_feelings 	 Nala irruku but kadaici walking nall illa
unknown_state 	 Mrng wake ayutu YouTube poitu trailer paathavaga like poduga
Negative 	 Vjs Siripula thalaivar swag lam.try panirkapla  set avala
Positive 	 en thalaivan..engal thalaivan .nija vaalvilum avarai paarthavudan en kastangal panjai parandhu poividukiradhu..
Mixed_feelings 	 Vj sethupathi kaaga mattume indha trailer ah paakuren
not-Tamil 	 Kon kon ne bina dekhe like kar diya
unknown_state 	 Forgot about Rajinikanth, just look at Simran
Negative 	 So pore I don't like it
Mixed_feelings 	 Tha padamna rajiniya vechii ipdi edugada..atha v2tu epa pathalu urrunu irukuramathiri edukathingada..
unknown_state 	 Rajni sir Vanakkam pleas Release Hindi trailer I'm big fan of Rajni thalaiwa sir
Positive 	 what a  style maaaa  ..... Rajinified
Positive 	 Super super super super star rajini sri good.....
unknown_state 	 Blue sattai maaran be like: kola gaandu la irruken
Positive 	 Iyo ....evlo time paetthudde irukken....semma azaka urukkaru
Positive 	 vayasanalum unga style eppavumay maradu ..
Positive 	 Andha last dance ku ellaarum oru ò podungappa
Positive 	 Adda adda da rajni sir rajni Sir da super superooooooo
Positive 	 Real time views 24hrs la 11m petta pongal
unknown_state 	 Petta Trailer (24 Hrs) - Views - 10.2 million views Likes - 546k likes
not-Tamil 	 Nawaj fan mere comment pe like karo
Positive 	 24 hr la 10 million views  thalaivar thalaivarthaan....
Positive 	 Rajni sar dhmakaa h boss is king 🦆🦆🦆🦆🦆🦆🦆🦆
Positive 	 1:41 Adichu underwear ode ooda vittiduve. Maanam pona thirumbi varaathu..paathukko mass  dialogue..
Positive 	 Wow wow wow wow wow wow wow wow wow wah!! No words
Mixed_feelings 	 One day aachi petta trailer innum trending la varala.? Petta trailer review lam trending la vandhuruche
unknown_state 	 Megha akash nadicha padam enpt thavara ellame release aaguthu inum enpt matum kanom epa than da varum🤨🤨🤨🤨
Positive 	 Navaj and rajni sir suprhit h boss
unknown_state 	 Marana mass!! Thalaivar fans hit like.....
Mixed_feelings 	 Daii Ena da 10million views vanthudichi trending LA varla ena nadakuthu YouTube LA..
unknown_state 	 Neega thalaivar gethu nenacha oru like potu ponga
Positive 	 What a music.. Enna bgm.. samma.
Positive 	 wow ... Rajni sir .. Vijay sethupathi sir.., nawzuddin sir..
not-Tamil 	 Hindi mein nahi aayi gi kiya
unknown_state 	 Dislike pottavan pathi Peru director ranjith veriyana erupan
Negative 	 Dai ennangada inum trending laiye varala
Positive 	 Marana mass Onnum Panna mudiyathu style king is back.
unknown_state 	 Jan 1st Telugu & Hindi trailer
Positive 	 Semmmma thalaiva....... Love u thalaivaaa.... Soo cute
Negative 	 old man better sleep at home puiiiiii
Positive 	 Romba super Rajini style full trailer excellent hits super duper hit movie
Mixed_feelings 	 22hours 10million views woww thalaivaaaa...ipa vaanga da china pasangala..
Positive 	 Thalaiva nee mass Vera leval 🤘🤘🤘🤘🤘
Positive 	 Rajni sir marupadiyum porandhu Vandha maadhiri irukku
unknown_state 	 vijai fans + Thalaivar Fans Meet pannalama Ready start 1 2 3
unknown_state 	 Indha dislikers lam yaru maaa Kamal fans ah???🤔
unknown_state 	 40k views more for 10 mil......
unknown_state 	 Who want petta dubbed in kannada ????
Mixed_feelings 	 Endaa 41K dislikes? Semma trailer ! -Telugu Fans
not-Tamil 	 Yea movie hindi me nehi aye6i?
Positive 	 Rajni wid Nawaz... Too much fun
Positive 	 24 hrs 10 million views....   Sirappaana, tharamaana sampavankal paarka thaan waiting..   Petta paraaak ...
unknown_state 	 Vijay fans hit like here ..:)
unknown_state 	 epdiyum like podamatta... pinna ethukku intha commenta vaasikira?
Negative 	 Evan ellam dislike pannano avan manishan illa
unknown_state 	 THALAIVAR FANS LEFT 58MINS FAST 10M VIEWS
unknown_state 	 Challenging star DARSHAN Boss fans like here
Positive 	 Adei YouTube eppa Da 10M views varum nanum evvlovu Times pathuten ...innium 10M views mattum Vara matikuthu ???
Mixed_feelings 	 Yarellam annamalai theme ketinga anirudh adha ketu indha filmla adichirkaru
Mixed_feelings 	 Konjam othingiri.....(viswasam)oodi pathingiri varathu thalaivaru petta....
Positive 	 10 million views in a day thalaivaaaa
not-Tamil 	 Anni trailer lu teaser lu bagane vunnai film matram ......... Yemi laydu
Positive 	 ayyo nanga ninacha thalaivaraaaa screen la pakka poraaa jan10th   superrr starrrrr marana masss tnqqqq karthik subbraj anna
Positive 	 ayyo nanga ninacha thalaivaraaaa screen la pakka poraaa jan10th   superrr starrrrr marana masss tnqqqq karthik subbraj anna
Negative 	 41k dislike.... appa 41k muttapayaluga irukkankilla....
Positive 	 Mr.karthick Subburaj enga iranthinga evlo naala
unknown_state 	 : Next A.R.Rahman .. ella pa nanu ethumay sollaaala :P
not-Tamil 	 Rajni sir ka jawab nahi
Positive 	 Padathula style irukum... But.. Padamea stylela tha iruku.. Mass thalaiva
Positive 	 Our sirappaana taramaana movie book panna poram
unknown_state 	 Any Makkal selvan VJS fans here
Positive 	 Indha Mari Thalaivar pathu rombha naal Aachi get rajinified .. pakka mass trailer
Mixed_feelings 	 Rajani looks stunning, but trailer doesn't make impression.
Mixed_feelings 	 Ipdi oru Maas record Panna intha trailer yen innum trending la varala...kaduppa irukku...
Positive 	 Pah pah.... Super star +anirudh bgm +sethupathi acting = semma movie block buster
Positive 	 Nethu super star  Indru super star Nalai super star  Endrum super star
Positive 	 Pakkalaaammm antha kaali yude aattathea  # bstwishes 4 style mannan  # sethupathiiii sir
Negative 	 karthik subbarajda padamnale mokkayathan ikkum papum rajinikkaha speciala ethachi irukkanu
unknown_state 	 Wting for movie Trailer spr
Positive 	 Indha vayasuleyu enna style da.. only super star
unknown_state 	 mass uh maranam tough uh tharanum athuku avanthaan poranthu varanum........
Positive 	 Ippa enna panna poram sweet sapada porom ,,,super awesome
Positive 	 Padam super rajini sir karthick sir unga padam semma sir
Positive 	 Andha gun sozhatra style Vera level....
Mixed_feelings 	 Enna innum trending list la varala
Positive 	 Aena style Aena presence Aena mass Aena dialogue delivery Aena gethu Only one super
unknown_state 	 Good morning Guys  Kaalaila Ezhunthathum Trailer Paakka Vanthavangala Like Podunga
Positive 	 My Thalapathy fan thalaivar pakkkkkkkka maaaaaassssss
Positive 	 Thalaiva you are great🤗🤗marana mass thalaivar
Positive 	 Bro in just 21 hours 9.8 m views
Positive 	 Thalivaa thalivaa da aa style is unique to thalivaa
Positive 	 Super padam rajini sir trailare ippadi athirutunna parameter eppadi irukkum
Mixed_feelings 	 En sun tv innum trending la teaser vara mattikinthu yyyy????
unknown_state 	 Nawazuddin fans  hit like
Positive 	 New type of Rajini but our fav old Rajini returns.....vaaa thalaivaaaaa........SEMMA Maranamass .....
not-Tamil 	 style ke amma mogudu jai ntr jai rajini sir
not-Tamil 	 Nawaj Ko dekhte hi tabiyat khush ho gayi.
Mixed_feelings 	 Trailer samaya erukku but viswasum thaan threatre paapean
Positive 	 Felt like a 90's mass Tamil movies style
Positive 	 Kaliiiii....tahlaivaa vangaaaaaa ithutha ethirpartheennnnn......lateaa vanthalum.latesta varuvendaaaa
Mixed_feelings 	 Enga da trending la varala .. Youtube ???
Positive 	 I am THALAPATHY fans...  Nice Super star Anna....
Positive 	 Vera level hit aagum solravanga HIT LIKE
Positive 	 Comment pakka vanthavanga yar yar like podunga thala rage Aarambam
Positive 	 Trailer pidikalana poga vendiyadhu dhane yedhukandi dislike ahhhhhh ..... Yarrupa andha karuppu aadunga
Mixed_feelings 	 Dei ennadaa kadasila fight vechutteenga... Pink padathula action sequence ey illiyedaa
Negative 	 dei kelthu kuthi ajith ivanya yaru nadika sona🤢🤢🤢
Positive 	 Orutharu mela neenga viswasam kaatradhukaga... Innoruthara yen Asinga paduthuringa... Mass thala...
Positive 	 Always mass paka mass ajith sir
Positive 	 Namma thala Ku epdi semaya music poduringa Yuvan eppudi
Positive 	 01:38 Yuvan +Thala  Combo
Positive 	 2 million likes  varum nu solluravunga Hit like....
Positive 	 Thala super Thala sema mass Thala  3.5 m vivewers
Positive 	 Thala trailer neraya....neraya..thara evlo per pathinga?
Positive 	 Thala U1 once again sama sama sama
Mixed_feelings 	 Padam romba amaidiya irukumpola  Paawam ajith
Positive 	 Waiting for Judgement Day Nerkonda Paarvai Trailer Marana Mass THALAAAAAAAA.....‍
Positive 	 Mass sa iruku thala trailer la
Positive 	 Thala vera level acting neriya neriya
Positive 	 I'm Telugu    Ajith. Anna nuvvu. Super
Mixed_feelings 	 Intha acting ku thala ku Oscar award kadaikum
Positive 	 Ellarum attendence podalam how many members eppo trailer pathutu irukenga Hit like ...
Positive 	 appo varalaaru movie la ajith uncle ah paatha maathiriye irukku paah !!! semma acting !!!
Positive 	 Yathana Peru trailer ah repeat mode la pathutu irukenga HIT like....
Positive 	 Today morning trending no.1 la paakkalaam
Positive 	 Innu neraya neraya neraya neraya....dhadava paakanum Pola  irukku .
Positive 	 Idhula yaar ellam pink movie ya parthu irukeenga
Positive 	 Videova parthadhum thala ya nenachu perumai patavanga like pannunga
Positive 	 That bgm goose bumps.. ring tone vaika poran
Positive 	 Paaandeeee padam paaka vanthuratha theater ku fst day
not-Tamil 	 Amitabh ji Amitabh hai.... Baki sab chini kam
Positive 	 Good  morning  Thala fans.... Trailer semma ya irukunu..... solluravunga hit like.......
Positive 	 Superb teaser... Malayalees like adi
Positive 	 Thala... Ena oru verithanam kovam
Negative 	 Video paakamale dislike poda mudiyathaa.....you tube la appadi oru option kondu vanga intha karumathala paakka mudila.....hathaa....🤣🤣🤣.....
Positive 	 Remake of Hindi movie pink.good one.
Positive 	 Oruthar maela viswasam kaatturadhukaga, innoruthara yaen asinga paduthureenga.....Great lines sir
Positive 	 vera vera vera level ,,,unbleavble ,,,,ini thala vettai aarambam
Positive 	 2019 hig thriller movie .. king maker Ajith kumar..
Negative 	 Are u virgin... Fuck me.... By ajith
Positive 	 Pakka pakka mass class thala vere level
Negative 	 Mr.Vandu Court la ipdilam kaththa kudathu...
Negative 	 Elaam Avan seyal part 2 vaaa
Positive 	 Ini etha marri nerya nerya nerya nerya nerya padam panuga ajith sir
Positive 	 Thalaaa ayooo neenga unmaile wonderful human being thalaaaa unga rasigaiya irukurathuku rmbaaaa proudah iruku thala
Positive 	 Ena get up potaalum eppadi set aaguthu🤔
Positive 	 AJITH ANNA FANS HIT LIKES
Negative 	 Trailer mokka da ajith kelatu payale
Positive 	 Night data ku dhan neriya Peru wait panni irukkanka poola
Positive 	 yuvan annna bgm vera level
Positive 	 Thalaaaaa eppavumee veraaa levelll  aduchukkaaa aale ilaaaa
Negative 	 Dai antha vijay cmku aasapaduran .Aana en thala eppayumae mass da .
Positive 	 Va thala va thala va thala
Positive 	 Ajith Sir ha  konjam nattkal kalluchi parthale annantha kanneer varudhu
Negative 	 Veeram flop Vivegam flop Viswasam flop Jana flop G flop Attagasam flop
Positive 	 Mass Ajith Anna    luv u
Positive 	 Mass thala unna aduthuchukka vera aalea kedaiyathu.unnai vella unnal mattume mudium u great man
Positive 	 Aug 10 varaikum wait panna mudiyathunu ninaikiravanga.. oru like podunga..
Positive 	 Ultimatestar ajith valka ultimatestar ajith valka ultimatestar ajith valka ultimatestar ajith valka
Positive 	 It's look like 'Pink' Movie remake.
Negative 	 movie kandipa kaevalama tha erukuminu trailorlayae theriyuthu...
Negative 	 Trailer mokka da ajith kelatu payale
Positive 	 Trailer pala thadava parthavanga mattum our like
Negative 	 Thala endurathala... avar thalayum perusa irukooo🤔
Positive 	 Thala.... intha marie different ah ippa than pakurin... pakavey puthusa eruku...... aug10 vara wait pananuma
Positive 	 36k comments in 5hours paaa THALA Vera level
Positive 	 2million likes fans ready  fans
Positive 	 Pink Trailer 69K likes Ner Konda parvai Trailer 560K likes
Negative 	 Feel like yalam avan seiyal movie let see valthukal
Positive 	 Omg sooo smart... gethu thalaaaa marana masssss
Positive 	 Pink nu hindi la vantha thoda tamil remake ah??
Positive 	 Thidinu sudden ah annoce pani trailar vitu intha alavu... lam thala oruvaruku matumey
Positive 	 Nanbarkely commend panitey erunga vara apalam thala fans
Positive 	 Avara control panunga pls semmmmmmmmaaaa mass
Positive 	 thala oda verithanamana  fans like panuga na unga kitta pesanum pa
Positive 	 Enga thala ya onnum panna mudiyalala
Positive 	 Thala Vera 11....Movie Vantha Odane Semmaya Darisanam Panna vendiyathuthan...Vishwasam 7 Times Paathen...NKP ah Epdiyu 10 Times paathuruven
Positive 	 Thala  a sami  I am wit
not-Tamil 	 శ్రీహరి నటించిన శ్రీలక్ష్మి మూవీ రిమేక్ లాగా ఉంది.
Positive 	 Anna final touch ok na  I am a Vijay fan
Positive 	 Yow... Military nee engaya inga  #Rangarajpandey
Positive 	 Thala dialogue delivery vara level marana waiting NKP movie
Positive 	 Vera vera vera level thala maasssaaa daaaa
Positive 	 செம. Srilankan Tamil fans oru 'O' poadu.
Positive 	 Naa indha trailer 30 time paathuten pakka pakka Thala maasss  Thala  dharisanam kedachirichi
Positive 	 Nenga yen blood ivlo uri poninga thala.....
Positive 	 Thala+yuvan vera level, waiting laye veri yerudhu
Positive 	 Thala And u1 ada ada ada Tharam
Positive 	 Thala seekirom theatre ku Va Thala ennala wait panna mudiyala
Positive 	 Pakkka thala I luv u by surya fan
Positive 	 Oruthar mela neenga viswasam katrathukaga innoruthara en neenga asinga paduthureenga. vera level thala
Positive 	 Nan yen murugan god a va da nu than solluvan Ana unkala sollamudila thala Anna...yen nenga yaru yengaluku
Positive 	 Ippuru Narayya Narayya Narayya Narayya Narayya THALA  Fans Like
Negative 	 Inga thala mattum tan Vara Eva vandhalum Ava thala inga irukatu Da dha*******
Positive 	 Enga annan Rangaraj with Ajith sir Mass thaan... 🤓🤓🤓
Positive 	 Thala love you paaa Vera maari
Positive 	 Looking Like Hindi Movie Pink Remake   Like Ajith Comment Vijay
Negative 	 Periyavarae.. dialogue la nalla than eruku acting enga? 🤣🤣🤣
Positive 	 Vj.. Nadaka vda matan seenu Thala.. Nadaka koodathu gethu
Positive 	 3M Views with 555k likes 🤘
Positive 	 Kandipaga dislike pannavan oru THALApathy fan ah iruka mudiyadhu
Positive 	 Oruthar mela Viswasam katrudhukaga innoruthara en asinga paduthringa... Mass Thala.. Purinjavanga purinjikonga
Positive 	 Por Vijay  trailer. vara  laval  pigil
not-Tamil 	 Telugu Vijay fans like vesukondi siara chusina vallu
Negative 	 Kandippa indha padam nalla odadhu.... Idhu Vijay sedhupathi kana padam illa..
unknown_state 	 Sk fans those who are like vj Sethupathi podra lika like theriksnum sk fans
Negative 	 Appu, ithu enna telegu padam matri iruku. !  Tamil padam yedugeda!
Negative 	 payam da unakku  thipavali ku vara......
unknown_state 	 Enna pa aachu deepavali ku vareninga
unknown_state 	 vijay sethu ...kerala fans like here
Positive 	 All the best sar I am karnataka
Negative 	 Entha naaaida VSP ananuku dis like pannathu kaila kedachinga mavana kollama vidamataaa (i will prey god for blockbuster sangatamizhan
Negative 	 First odamba korachuto apram nadika vanga thayavu senju 🥵
Positive 	 Thalapathi fan but vijaysethupathi romba pudikkum
Positive 	 Semma
Mixed_feelings 	 Bigil trailer-ah vida ithu mass-ah irukku
Positive 	 Vs anna semma.......🤗epavum pola neega vera level.........
Negative 	 Ivan mokka but epdiyo herova agiten
Mixed_feelings 	 Tamilar tamilar nu soldringa. Produce pandradhuku reddy dhan kedaichara?
Positive 	 Iam sk fan aanaa trailer semma
Mixed_feelings 	 bro unga padam bigila vita nalla hittakanum. ....sangatamilan
Negative 	 Parthaale theriyudhu pakka flop nnu. Yen ipdi worth illadha padangala choose pandraaru nu theriyala.
Negative 	 Yarelam dislike paninglo avangellam........ Onnum illa reason mtm slitu pongada naingla
Mixed_feelings 	 Sumara irunthalum Vijay sethupathikaga like podalam
Negative 	 Ne thalabathita mokka vanga readya iru d
Negative 	 Who all agree Vijay sethupathi ku inda mari dance set aagala nh
Negative 	 Vijay Sethupathi in commercial plot, set ellam pottu dance aadi irukaru appo pakka flop than...
Negative 	 yenda trailer yeppa parthalum slowmotion la potu saavadikireenga.....
unknown_state 	 ji ok dha yellame,but bigil kuda venama irundhuchi, Na unga padam yellame pathrukke,but thalapathyn varappa,yevena irundhalu vittu kuduka maato Vazhtukal nanba
Negative 	 Ena da hindi la varuthu title uu
unknown_state 	 Is every movie release to Telugu jai Vijay
unknown_state 	 Sir telugu lo kuda dubbing cheyande
Positive 	 Im in Karnataka  but I  love  vijay sethupathi love you  sir
unknown_state 	 Vijay Setupati Telugu fans like here...
unknown_state 	 Meru Telugu vallaku Kuda paricham inaru sir
unknown_state 	 విజయ్ సేతుపతి  fan from andra
Negative 	 Tamil tamil nu  nalla sambathingada,nanga thanda aemali.modhala tamilpesura ponungaloda nadingada.
not-Tamil 	 Hindi dabbed kab aayegi ye movie vijay shetupati ki plzz rply me
unknown_state 	 Jai... Vijay Sethu pathi Jai.... Chiranjeevaa.... Syeraa... Narasimha Reddy Syeraa.... Vijay pandya
not-Tamil 	 vedu ఒక హీరో veniki ఒక cinimana వాణి ఫేస్ హీరో లాగా లేదు dongodu ల vundi
unknown_state 	 Enna Pulaingala Miratalama  #BigilTrailer from Oct 12th 6 P.M
Negative 	 Vs waight koracha nalla irukkum wara wara romba waight podrapla
unknown_state 	 Asuran Madri ini oru padam varathunga hands up
Positive 	 Super Semma keka I am from Telugu I like Vijay sethupathi Anna so much love u anna
