repositories,stars_count,forks_count,issues_count,pull_requests,contributors,language
RivaanRanawat/flutter-multiplayer-tictactoe,13,9,1,0,0,Dart
education/autograding-example-c,7,17,1,0,0,Shell
education/autograding-example-cpp,7,9,1,1,0,C++
education/autograding-example-java,21,59,1,1,0,Java
education/autograding-example-python,31,86,1,3,0,Python
trailofbits/brew-pip-audit,0,0,1,0,2,Ruby
trailofbits/cfg-showcase,38,12,1,0,2,C++
Rivuozil/github-slideshow,0,0,1,0,8,HTML
jamesbachini/satoshisearch,0,2,1,0,2,JavaScript
Raz0r/codeql-uboot,0,0,1,0,2,CodeQL
AnirudhDagar/comments,0,0,1,0,0,NULL
localstack/.github,3,2,1,0,2,NULL
localstack/amplify-js-local,16,1,1,0,2,JavaScript
localstack/chalice-local,17,2,1,0,0,Python
RivaanRanawat/cuadro,8,7,1,0,0,Dart
eddiejaoude/BattleSnake,1,0,1,0,0,Gherkin
PranamBhat/Angular-Ivy-Compiler,0,1,1,0,2,TypeScript
devongovett/apple-color-emoji,54,11,1,2,4,JavaScript
kaushik-rishi/codemirror-record,0,0,1,0,2,JavaScript
kaushik-rishi/procmon,1,0,1,0,0,JavaScript
vaibhavdes/LearnDesignPatterns,0,0,1,0,0,NULL
ifnotak/Strenua,0,0,1,0,0,JavaScript
idvoretskyi/community-tools,0,0,1,0,0,CSS
DevGupta-ikr/github-slideshow,0,0,1,0,8,Ruby
devongovett/babel-plugin-transform-async-super,4,1,1,0,0,JavaScript
Ipseeta/JavaPractice,0,0,1,0,0,Java
devongovett/babel-plugin-transform-glob-import,5,4,1,3,0,JavaScript
devongovett/bmp.js,14,3,1,0,0,CoffeeScript
devongovett/bundler-algorithm,28,2,1,0,0,Rust
benfoxall/code-along,0,1,1,0,0,JavaScript
anuraghazra/CanvasFun,141,30,1,1,0,JavaScript
Ipseeta/CRUD-SpringMVC-Mongo-API,2,0,1,0,0,HTML
prtamil/cstl,0,0,1,0,2,C
AshAman999/FUNZONE,2,1,1,0,2,Dart
curiousily/burglar-alarm-system-with-tensorflow-js-and-react,1,0,1,0,0,JavaScript
AshAman999/FlutterFestival,0,1,1,0,0,NULL
StErMi/forge-damn-vulnerable-defi,12,1,1,0,0,Solidity
adrianhajdin/project_gif_app,23,8,1,0,0,CSS
jishanshaikh4/cpp-building,16,0,1,0,0,QMake
jishanshaikh4/CSE-215-Computer-Graphics-Programs,16,1,1,0,0,C
jishanshaikh4/CSE-217-Data-Structures-Laboratory,23,3,1,0,2,C++
jishanshaikh4/CSE-315-Compiler-Design-Laboratory,16,0,1,0,0,C
jishanshaikh4/CSE-317-Operating-Systems-Laboratory,16,2,1,0,0,C++
jishanshaikh4/cuda-programs,14,0,1,1,0,Cuda
SOUMEE2000/Goodreads-Book-Finder-Getting-Started-Project-,3,2,1,0,0,HTML
Novusvetus/AutoGitIgnore,6,0,1,2,2,PHP
Novusvetus/ClassHelper,5,0,1,2,2,PHP
Novusvetus/StreamersMQTT,2,0,1,0,0,NULL
mrdbourke/food-not-food,45,9,1,0,2,Jupyter Notebook
ahmedEid1/E-Learning-Platform,11,11,1,0,0,JavaScript
thrau/my-action-tests,1,0,1,0,3,Python
taranjeet/hindi-news-classifier,0,0,1,0,0,Python
taranjeet/django-library-app,49,28,1,0,0,Python
taranjeet/awesome-paid-resources-free-during-covid19,21,1,1,0,0,NULL
cheeaun/3d-touch-canvas,59,4,1,0,2,HTML
curiousily/dissertation,4,3,1,0,2,Jupyter Notebook
google/aarch64-paging,6,2,1,0,3,Rust
google/across,12,6,1,3,4,HTML
google/adcase,4,6,1,0,0,Python
xoreaxeaxeax/sinkhole,823,102,1,3,0,Assembly
gylidian/DataStructure_Review,27,9,1,0,0,NULL
karar189/github-pages-with-jekyll,0,0,1,0,4,NULL
offensive-security/wireless-patches,27,17,1,0,0,NULL
RioChndr/algorithm_challenge,0,1,1,0,2,PHP
AneleMbabela/github-slideshow,0,0,1,0,8,HTML
offensive-security/gcc-arm-linux-gnueabihf-4.7,30,44,1,0,0,NULL
offensive-security/kali-linux-docker-rolling,33,15,1,1,0,NULL
offensive-security/kali-linux-recipes,466,206,1,1,0,NULL
offensive-security/Kali-WSL-chroot,40,17,1,1,2,NULL
joelparkerhenderson/architecture-decision-record,0,0,1,0,26,NULL
joelparkerhenderson/brewfile,104,24,1,0,0,Ruby
simonw/asgi-log-to-sqlite,6,0,1,0,0,Python
dheerajkotwani/CineWatch,27,8,1,0,0,Kotlin
sefakozan/turkce-iptv,48,10,1,1,0,NULL
tapaswenipathak/API-list,0,0,1,0,2,Python
antonmedv/chat,54,17,1,0,0,JavaScript
antonmedv/kot,7,0,1,0,0,JavaScript
gasteigerjo/gdc,156,26,1,0,2,Python
mager/cafebean-api,0,0,1,0,0,Go
wsvincent/django-auth-tutorial,218,97,1,1,2,Python
MannyP31/Dev-folio-1,5,1,1,0,3,HTML
wsvincent/django-rest-framework-react-tutorial,68,25,1,1,0,Python
RakeshSeervi/congenial-spoon,0,7,1,0,6,CSS
patraanjan23/abstractform,0,1,1,0,2,SCSS
emersonsoares/CakePHP-Dinamic-Select-Box,5,3,1,0,0,PHP
mikenikles/deno-sapper-cloud-run,7,1,1,8,0,JavaScript
mikenikles/gitpod-minimal-custom-dockerfile,3,1,1,1,0,NULL
sreehari2003/Netflix-clone-React,0,0,1,0,0,JavaScript
zfogg/dotfiles,13,0,1,0,0,Shell
ck37/coral-ordinal,48,17,1,0,3,Python
gabrielfalcao/bolacha,17,5,1,0,2,Python
markwylde/assert-plan,0,0,1,0,1,JavaScript
PawanKolhe/calc-2000-web-app,0,0,1,0,0,JavaScript
MariaEduardaDeAzevedo/celare,3,0,1,0,0,Python
MariaEduardaDeAzevedo/header,2,0,1,0,0,Python
MariaEduardaDeAzevedo/nosso-py,52,19,1,2,18,Python
varunKT001/git-github-hIQ-fork,1,1,1,0,2,NULL
defuse/dnsfs,33,5,1,0,0,Ruby
zfogg/ascii-chat,158,8,1,0,3,C
defuse/email-spoofing,39,22,1,0,0,Ruby
marcel-dempers/k8s-build-your-own,3,13,1,0,2,Shell
Tyriar/canvas-astar.dart,2,1,1,0,0,Dart
ankitkumar70777/github-slideshow,0,0,1,0,8,HTML
aitikgupta/interactive_cpu_scheduler,0,5,1,1,7,Python
gwmccubbin/voting_dapp,11,5,1,0,0,JavaScript
gamemann/All_PropHealth,4,3,1,0,0,SourcePawn
